,model,mae,mse,rmse,r2
0,xgb,715.866597019634,987974.7986080189,993.969214114813,0.837536338964619
1,gbr,725.9847986525255,983452.473771259,991.6917231535508,0.8382799950279178
2,cat,727.0892303590382,985762.1811720558,992.8555691398703,0.8379001842060398
3,lgbr,726.4192537246118,985278.9520974751,992.6121861520113,0.8379796469258236
4,lasso,728.9397999121562,991780.6604458807,995.881850645889,0.8369104988637935
5,ridge,728.9397999121825,991780.6604458769,995.8818506458871,0.8369104988637941
6,rf,728.4010508369535,991441.4607749038,995.7115349210853,0.8369662772302524
7,dt,736.3595661869911,1010265.010313921,1005.1194010235406,0.8338709120690173
8,et,737.5140526579171,997279.1931760868,998.6386699783294,0.8360063141022684
9,knn,763.3503923790339,1082737.1254579308,1040.54655131711,0.8219535178542434
10,ada,785.9356511527182,1099163.1217552072,1048.4098062090068,0.8192524089814575
