,model,mae,mse,rmse,r2
0,xgb,516.6271392480579,599484.1508483479,774.2636184455188,0.9044062654537331
1,gbr,526.7273375179053,596046.0651447257,772.0401965861141,0.9049545025533033
2,cat,527.5703362153196,596587.1591340798,772.3905483200062,0.9048682197131153
3,et,529.99412142352,597236.9917058579,772.8110970385052,0.9047645974200519
4,lgbr,528.4288903500549,596961.2321389107,772.6326631323003,0.9048085700368493
5,lasso,531.7665231997508,605627.3597826745,778.2206369550183,0.9034266694405622
6,ridge,531.7719592638392,605639.7903121039,778.2286234212308,0.9034246872685082
7,rf,530.1034899336967,603650.7435318097,776.9496402803786,0.9037418606410594
8,dt,536.5410483749902,616516.243403819,785.1854834393075,0.9016903282063329
9,knn,557.286765630897,652421.4141781946,807.7260762029381,0.8959648901626633
10,ada,604.702823321766,716863.4735417312,846.677904247968,0.8856889602524312
